Abellanas M., (1991)., Matematica discreta., Macrobit.,Facultad de Ingenieria (Division de Estudios Profesionales).,No hay tema relacionado,
Comellas F., (2002)., Matematica discreta., Alfaomega.,Facultad de Ingenieria (Anexo).,Tema 1 “Logica Proposicional y Calculo de Predicados”.  Tema 2 “Conjunto Relaciones y Pruebas Matematicas”.  Tema 3 “Sistemas Algebraicos ” y Tema 4 “teoria de Graficas”,
Epp S. Garcia Hernandez A. & Epp S., (2012)., Matematicas discretas con aplicaciones (Cuarta edicion)., Cengage Learning Editores.,Facultad de Ingenieria (Anexo).,Tema 1: “Logica proposicional y calculo de predicados”. 2: “Conjunto relaciones y pruebas matematicas”. 4: “Teoria de graficas” y 5: “Teoria de la computabilidad”.,
Espinosa Armenta R., (2010)., Matematicas discretas (2a edicion)., Alfaomega.,Facultad de Ingenieria (Anexo).,Tema 1 “Logica Proposicional y Calculo de Predicados”. Tema 2 “Conjunto Relaciones y Pruebas Matematicas”.  Tema 3 “Sistemas Algebraicos ” y Tema 4 “teoria de Graficas”,
Garci a Merayo F., (2015)., Matematica discreta (3a edicion)., Paraninfo.,Facultad de Ingenieria (Anexo).,Tema 1 “Logica Proposicional y Calculo de Predicados”. Tema 2 “Conjunto Relaciones y Pruebas Matematicas” y Tema 4 “teoria de Graficas”,
Lipschutz S. Lars Lipson M. & Villagomez Velazquez H., (2009)., Matematicas discretas., McGraw-Hill Interamericana.,Facultad de Ingenieria (Anexo).,Tema 1 “Logica Proposicional y Calculo de Predicados”. Tema 2 “Conjunto Relaciones y Pruebas Matematicas”.  Tema 3 “Sistemas Algebraicos ”. Tema 4 “teoria de Graficas” y Tema 5 “Teoria de Computabilidad”,
Moreno Garcia J. & Pazos Sierra J., (2015)., Matematica discreta (2.ª edicion)., Centro de Estudios Financieros.,Facultad de Ingenieria (Anexo).,Tema 1 “Logica Proposicional y Calculo de Predicados”.  Tema 2 “Conjunto Relaciones y Pruebas Matematicas” y Tema 4 “teoria de Graficas”,
Scheinerman E. & Gonzalez Pozo V., (2001)., Matematicas discretas., Thomson Learning.,Facultad de Ingenieria (Anexo)., Tema 1 “Logica Proposicional y Calculo de Predicados”. Tema 2 “Conjunto Relaciones y Pruebas Matematicas”.  Tema 3 “Sistemas Algebraicos ”. Tema 4 “teoria de Graficas” y Tema 5 “Teoria de Computabilidad” Nota: Tema 3 Solo Algebra Booleana y Circuitos de Dos Estados,
Scheinerman R. & Gonzalez Pozo V., (2001)., Matematicas discretas., Thomson Learning.,Facultad de Ingenieria (Posgrado)., Tema 1 “Logica Proposicional y Calculo de Predicados”. Tema 2 “Conjunto Relaciones y Pruebas Matematicas”.  Tema 3 “Sistemas Algebraicos ”. Tema 4 “teoria de Graficas” y Tema 5 “Teoria de Computabilidad” Nota: Tema 3 Solo Algebra Booleana y Circuitos de Dos Estados,
Tremblay P. Rama M. & Rangel Gutiérrez H., (1996)., Matematicas discretas: con aplicacion a las ciencias de la computacion., CECSA.,Facultad de Ingenieria (Anexo).,Tema 1: “Logica Proposicional y Calculo de Predicados” y  Tema 5: “Teoria de la computabilidad”,
Tremblay P. Rama M. & Rangel Gutiérrez R., (1996)., Matematicas discretas: con aplicacion a las ciencias de la computacion., CECSA.,Facultad de Ingenieria (Division de Estudios Profesionales).,Tema 1: “Logica Proposicional y Calculo de Predicados” y  Tema 5: “Teoria de la computabilidad”,
Zaldivar Esquivel O. & Zaldivar Zamorategui O., (2011)., Estructuras discretas: logica proposicional y calculo de predicados: cuaderno de ejercicios., UNAM.,Facultad de Ingenieria (Division de Estudios Profesionales).,Tema 1 “Logica Proposicional y Calculo de Predicados”,
Zaldivar Esquivel O. & Zaldivar Zamorategui O., (2011)., Estructuras discretas: logica proposicional y calculo de predicados: cuaderno de ejercicios., UNAM.,Facultad de Ingenieria (Division de Estudios Profesionales).,Tema 1 “Logica Proposicional y Calculo de Predicados”,
Liu L., (1987)., Elements of discrete mathematics (2nd ed.)., McGraw-Hill., Facultad de Ingenieria(Edificio A)., Tema 1: "Logica proposicional y calculo de predicados". Tema 2: "Conjuntos relaciones y pruebas matematicas". Tema 3: "Sistemas algebraicos". Tema 4: "Teoria de graficas". Tema 5: "Teoria de la computabilidad".,
Grassmann K. & Tremblay P., (1996)., Logic and discrete mathematics : a computer science perspective., SunSoft.,Facultad de Ingenieria(Edificio A)., Tema 1: "Logica proposicional y calculo de predicados". Tema 2: "Conjuntos relaciones y pruebas matematicas". Tema 3: "Sistemas algebraicos". Tema 4: "Teoria de graficas". Tema 5: "Teoria de la computabilidad".,
Berman A. & Paul L., (2005)., Algorithms : sequential parallel and distributed., Thomson.,Facultad de Ingenieria(Edificio A).,Tema 4: "Teoria de graficas". Tema 5: "Teoria de la computabilidad".,
Johnsonbaugh R., (2018)., Discrete mathematics (Eighth edition)., Pearson.,Facultad de Ingenieria(Edificio A)., Tema 1: "Logica proposicional y calculo de predicados". Tema 2: "Conjuntos relaciones y pruebas matematicas". Tema 3: "Sistemas algebraicos". Tema 4: "Teoria de graficas". Tema 5: "Teoria de la computabilidad".,
Ross K. & Wright B., (1998)., Discrete mathematics (2nd ed.)., Prentice Hall.,Facultad de Ingenieria(Edificio A)., Tema 1: “Logica proposicional y calculo de predicados”. Tema 2: “Conjunto relaciones y pruebas matematicas”. Tema 3: “Sistemas algebraicos”.,
